"NBPERSMENFISC15","ambulance","analyse_medicale","autre","autre_specialiste","chirurgien","dentiste","generaliste","hopital","infirmiers","organe","radiologiste","reeducateur_podologue","generaliste_habitant","infirmiers_habitant","ambulance_habitant","hopital_habitant","regionName","indice"
"377388.0","53.0","35.0","565.0","239.0","38.0","241.0","529.0","83.0","1249.0","2.0","59.0","805.0","140.1740383901979","330.95911899689446","14.04390176688183","21.993280125494188","Languedoc-Roussillon-Midi-Pyrénées","112.12865392240552"
"251241.0","34.0","24.0","310.0","167.0","23.0","150.0","330.0","63.0","657.0","1.0","21.0","575.0","131.34798858466573","261.50190454583446","13.532823066298892","25.075525093436184","Languedoc-Roussillon-Midi-Pyrénées","103.41807035709456"
"1051541.5","136.0","180.0","1586.0","1108.0","136.0","1011.0","1907.0","145.0","4243.0","1.0","174.0","3004.0","181.35280443044806","403.50285747162616","12.933393498972698","13.789279833463539","Provence-Alpes-Côte d'Azur","122.26871676412215"
"559570.5","148.0","80.0","957.0","641.0","106.0","469.0","873.0","144.0","1634.0","1.0","130.0","1323.0","156.01251316858196","292.0096752777353","26.4488567571021","25.734022790693935","Provence-Alpes-Côte d'Azur","114.73725270956261"
"668254.5","120.0","48.0","725.0","278.0","46.0","410.0","686.0","134.0","904.0","1.0","45.0","1259.0","102.65550026225038","135.27780209486056","17.95723036657441","20.052240576008092","Pays de la Loire","70.83579506009002"
"409861.0","67.0","24.0","441.0","251.0","45.0","227.0","638.0","93.0","578.0","2.0","28.0","572.0","155.66252949170573","141.02342013511898","16.347005448188533","22.690619502709456","Aquitaine-Limousin-Poitou-Charentes","87.58929597604647"
"353073.5","72.0","27.0","296.0","239.0","42.0","227.0","619.0","84.0","971.0","4.0","28.0","563.0","175.31760384169303","275.0135594996509","20.39235456640048","23.791080327467228","Aquitaine-Limousin-Poitou-Charentes","114.14975288261549"
"357034.5","73.0","23.0","231.0","133.0","24.0","210.0","457.0","113.0","603.0","4.0","24.0","500.0","127.99883484649243","168.89124160270225","20.44620337810492","31.64960248939528","Alsace-Champagne-Ardenne-Lorraine","96.97785340476555"
"329374.0","48.0","23.0","287.0","142.0","24.0","155.0","315.0","70.0","510.0","3.0","26.0","444.0","95.63596398015629","154.8391797773959","14.573099273166674","21.25243644003473","Bourgogne-Franche-Comté","73.73868775751042"
"135504.5","10.0","10.0","101.0","120.0","19.0","67.0","147.0","17.0","214.0","2.0","17.0","164.0","108.48348209838049","157.92833448335665","7.379828714175544","12.545708814098425","Bourgogne-Franche-Comté","65.93688860847155"
"1276155.0","79.0","144.0","1194.0","860.0","72.0","770.0","1466.0","195.0","1332.0","3.0","115.0","2006.0","114.87632771881158","104.37603582636905","6.1904705933056725","15.280275515121597","Ile-de-France","62.785684392903654"
"1586745.0","126.0","190.0","2127.0","1843.0","168.0","1473.0","2322.0","308.0","1322.0","6.0","284.0","3062.0","146.33731317886617","83.31521447995739","7.940784436062505","19.4108063992639","Ile-de-France","72.30871816632136"
"1605706.0","247.0","118.0","840.0","766.0","77.0","720.0","1751.0","222.0","1267.0","5.0","129.0","1509.0","109.04860541095319","78.90610111689189","15.382641654200707","13.825694118350432","Ile-de-France","55.63024159899362"
"1350624.0","165.0","156.0","1341.0","1071.0","76.0","925.0","1751.0","168.0","1231.0","14.0","211.0","2229.0","129.64377946786078","91.14305683891298","12.216575449569977","12.438695003198522","Ile-de-France","60.542907866952966"
"1231925.5","92.0","113.0","1022.0","716.0","83.0","684.0","1401.0","160.0","1129.0","3.0","108.0","1821.0","113.72440947118962","91.64515224337835","7.467984062347926","12.98779836930074","Ile-de-France","57.59240816830518"
